12/5/19 3:50,"....”I would like to have the Attorney General (of the United States) call you or your people.....” This, based on… https://t.co/WRn9fT6iwG",,,,,,,,,,,,Date,Time,,
12/2/19 12:35,“The United States has outperformed the rest of the world in an eye popping fashion. I don’t think we’ve seen numbe… https://t.co/4LUJ6DpgL2,,,,,,,,,,,,12/2/19,13:53:16,,
12/2/19 12:20,"“The American people are going to see this for what it is. It is a political effort by the Democrats, and the Presi… https://t.co/7DFf3J8rEv",,,,,,,,,,,,12/2/19,12:35:36,,
12/2/19 12:07,“The process has been unfair. Republicans can’t even get their own witnesses. It gets me that Adam Schiff is not pu… https://t.co/DnIl5o1WoD,,,,,,,,,,,,12/2/19,12:20:30,,
12/2/19 11:11,U.S. Markets are up as much as 21% since the announcement of Tariffs on 3/1/2018 - and the U.S. is taking in massiv… https://t.co/JxjXnw8gll,,,,,,,,,,,,12/2/19,12:07:20,,
12/2/19 10:59,".....Reserve should likewise act so that countries, of which there are many, no longer take advantage of our strong… https://t.co/HTKwE89s8a",,,,,,,,,,,,12/2/19,11:11:04,,
12/2/19 10:59,Brazil and Argentina have been presiding over a massive devaluation of their currencies. which is not good for our… https://t.co/FpoeCsTlMQ,,,,,,,,,,,,12/2/19,10:59:33,,
12/2/19 10:55,“It is clear that there is none of the bipartisan support that Speaker Pelosi said for months was essential for Imp… https://t.co/Ae0wynG7k1,,,,,,,,,,,,12/2/19,10:59:33,,
12/2/19 10:35,“Trump Economy Breaks Holiday Shopping Records.” @FoxNews,,,,,,,,,,,,12/2/19,10:55:24,,
12/2/19 7:21,"Great writer and historian, Doug Wead, has written a true (not Fake News) account of what is going on in Washington… https://t.co/9IJCPlhrxK",,,,,,,,,,,,12/2/19,10:35:42,,
12/2/19 4:24,"“Donald Trump was framed back in 2016.” @MariaBartiromo  100% correct, Maria, and we can never let this happen to another president again!",,,,,,,,,,,,12/2/19,7:21:57,,
12/1/19 18:31,"....in America, community by community where we will eradicate AIDS in 10 years, program already started. American… https://t.co/LIRb5EfGWb",,,,,,,,,,,,12/2/19,4:24:00,,
12/1/19 18:31,"On World AIDS Day, The First Lady and I express our support for those living with HIV/AIDS and mourn the lives lost… https://t.co/0wE8w4uHJD",,,,,,,,,,,,12/1/19,18:31:40,,
12/1/19 1:28,“Schiff’s impeachment hearings wasting time when Congress must do real work” https://t.co/4lb9bWrVRL,,,,,,,,,,,,12/1/19,18:31:40,,
12/1/19 1:26,"“Trump did nothing impeachable, day-by-day review of all impeachment hearing testimony shows” @GreggJarrett https://t.co/QbFeEmWkTB",,,,,,,,,,,,12/1/19,1:28:18,,
12/1/19 1:24,"“Sen. Tim Scott Says Trump 'Innocent,' 'No Way' Senate Convicts” https://t.co/P6ONkI8n0P",,,,,,,,,,,,12/1/19,1:26:21,,
11/30/19 23:50,An incredible experience! https://t.co/n6BNQY6dIx,,,,,,,,,,,,12/1/19,1:24:34,,
11/30/19 23:43,Nancy Pelosi won’t put it up for a vote. Has delayed it for 6 months. See you in #2020! https://t.co/lOrWm9u10r,,,,,,,,,,,,11/30/19,23:50:36,,
11/30/19 23:38,"I will be representing our Country in London at NATO, while the Democrats are holding the most ridiculous Impeachme… https://t.co/UuVlxzywyZ",,,,,,,,,,,,11/30/19,23:43:34,,
11/30/19 23:27,Robert Johnson knows business &amp; politics. He also understands lowest African American Unemployment in U.S. history! https://t.co/NalNOFG53T,,,,,,,,,,,,11/30/19,23:38:35,,
11/30/19 23:21,And the Do Nothing Democrats want to impeach President Trump? https://t.co/i3tPDJtuuA,,,,,,,,,,,,11/30/19,23:27:15,,
11/30/19 23:11,Thank you to @BuckMcNeely1 and Oliver North for the nice words and thoughts in an excellent interview. Best wishes!,,,,,,,,,,,,11/30/19,23:21:55,,
11/30/19 20:06,https://t.co/AUoFQexhR4,,,,,,,,,,,,11/30/19,23:11:04,,
11/29/19 14:06,Just returned to the United States after spending a GREAT Thanksgiving with our Courageous American Warriors in Afg… https://t.co/qdzzgdg91c,,,,,,,,,,,,11/30/19,20:06:19,,
11/29/19 1:25,I thought Newsweek was out of business? https://t.co/3ro4eSJloo,,,,,,,,,,,,11/29/19,14:06:02,,
11/28/19 21:42,HAPPY THANKSGIVING! https://t.co/7SGZnHindW,,,,,,,,,,,,11/29/19,1:25:13,,
11/28/19 13:21,HAPPY THANKSGIVING! https://t.co/2GoxJEk6fN,,,,,,,,,,,,11/28/19,21:42:19,,
11/27/19 22:11,95% Approval Rating in the Republican Party. Thank you!,,,,,,,,,,,,11/28/19,13:21:29,,
11/27/19 22:09,"New Stock Market Record today, AGAIN. Congratulations USA!",,,,,,,,,,,,11/27/19,22:11:03,,
11/27/19 22:06,People now realize it is a Democrat Hoax! https://t.co/6O3lFa2wU7,,,,,,,,,,,,11/27/19,22:09:22,,
11/27/19 15:54,https://t.co/11nzKwOCtU,,,,,,,,,,,,11/27/19,22:06:22,,
