,7oldsamr.txt,alissadl.txt,aminegg.txt,bestwish.txt,burn.txt,crabhern.txt,mydream.txt,narciss.txt
7oldsamr.txt,1.0,0.02785,0.07092,0.03226,0.01389,0.06087,0.03055,0.03074
alissadl.txt,0.02785,1.0,0.03104,0.05648,0.016,0.02828,0.02529,0.02991
aminegg.txt,0.07092,0.03104,1.0,0.01495,0.01315,0.03428,0.01277,0.01837
bestwish.txt,0.03226,0.05648,0.01495,1.0,0.07822,0.08026,0.09517,0.03547
burn.txt,0.01389,0.016,0.01315,0.07822,1.0,0.0113,0.02582,0.01671
crabhern.txt,0.06087,0.02828,0.03428,0.08026,0.0113,1.0,0.03062,0.01618
mydream.txt,0.03055,0.02529,0.01277,0.09517,0.02582,0.03062,1.0,0.01374
narciss.txt,0.03074,0.02991,0.01837,0.03547,0.01671,0.01618,0.01374,1.0
