,7oldsamr.txt,alissadl.txt,aminegg.txt,bestwish.txt,burn.txt,crabhern.txt,mydream.txt,narciss.txt
7oldsamr.txt,1.0,0.54624,0.56236,0.57272,0.5442,0.56024,0.54078,0.58473
alissadl.txt,0.56119,1.0,0.60547,0.6113,0.56426,0.59307,0.58112,0.62564
aminegg.txt,0.58986,0.61698,1.0,0.63254,0.60057,0.63303,0.60214,0.64407
bestwish.txt,0.61387,0.63722,0.64657,1.0,0.64293,0.64686,0.64606,0.67912
burn.txt,0.56156,0.56678,0.5914,0.61987,1.0,0.57803,0.57107,0.61854
crabhern.txt,0.57944,0.59709,0.62525,0.62457,0.57963,1.0,0.59701,0.62611
mydream.txt,0.55763,0.58337,0.59217,0.62167,0.57107,0.59462,1.0,0.62422
narciss.txt,0.6398,0.66558,0.67285,0.69357,0.65656,0.66274,0.66234,1.0
