,7oldsamr.txt,alissadl.txt,aminegg.txt,bestwish.txt,burn.txt,crabhern.txt,mydream.txt,narciss.txt
burn,0.0,0.0,0.0,0.0,0.16426,0.0,0.0,0.0
burned,0.04999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buy,0.0,0.0,0.0,0.0,0.05475,0.0,0.0,0.0
called,0.0,0.07124,0.03849,0.0,0.0,0.0,0.0,0.10476
calm,0.0,0.0,0.0,0.0,0.0,0.0,0.04794,0.0
came,0.0,0.0,0.0,0.0,0.0,0.0,0.09587,0.0
camel,0.0,0.0,0.05322,0.0,0.0,0.0,0.0,0.0
cares,0.04999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carry,0.0,0.0,0.0,0.0,0.0,0.04765,0.0,0.0
cartoon,0.0,0.0,0.0,0.0,0.0,0.0,0.04794,0.0
carve,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07243
case,0.0,0.0,0.05322,0.0,0.0,0.0,0.0,0.0
catch,0.0,0.0,0.0,0.0,0.0,0.04765,0.0,0.0
caused,0.0,0.0,0.0,0.0,0.05475,0.0,0.0,0.0
cave,0.09997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement,0.0,0.0,0.0,0.0,0.0,0.0,0.09587,0.0
centre,0.0,0.0,0.0,0.0,0.05475,0.0,0.0,0.0
certain,0.0,0.0,0.0,0.0,0.0,0.04765,0.0,0.0
certainly,0.0,0.0,0.0,0.0,0.0,0.04765,0.0,0.0
chance,0.0,0.0,0.0,0.03959,0.0,0.0,0.0,0.0607
chanced,0.04999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
change,0.0,0.0,0.0,0.03959,0.04589,0.0,0.0,0.0
changed,0.0,0.0,0.0,0.18896,0.0,0.0,0.0,0.0
chanting,0.0,0.0,0.0,0.0,0.0,0.0,0.04794,0.0
charges,0.0,0.0,0.0,0.0,0.05475,0.0,0.0,0.0
charmed,0.0,0.04925,0.0,0.0,0.0,0.0,0.0,0.0
chatterbox,0.0,0.0,0.0,0.0,0.0,0.04765,0.0,0.0
cheek,0.0,0.04925,0.0,0.0,0.0,0.0,0.0,0.0
cheered,0.0,0.04925,0.0,0.0,0.0,0.0,0.0,0.0
chickens,0.0,0.0,0.15965,0.0,0.0,0.0,0.0,0.0
choise,0.0,0.0,0.0,0.04724,0.0,0.0,0.0,0.0
choose,0.0,0.04925,0.0,0.0,0.0,0.0,0.0,0.0
chuckled,0.0,0.04925,0.0,0.0,0.0,0.0,0.0,0.0
clapped,0.0,0.04925,0.0,0.0,0.0,0.0,0.0,0.0
clear,0.0,0.0,0.0,0.0,0.0,0.0,0.04017,0.0607
climb,0.04189,0.0,0.0,0.0,0.0,0.03994,0.0,0.0
close,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07243
closer,0.0,0.0,0.0,0.0,0.04589,0.0,0.0,0.0607
closet,0.0,0.0,0.0,0.0,0.0,0.0,0.04794,0.0
clouds,0.04999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clung,0.0,0.0,0.0,0.0,0.0,0.04765,0.0,0.0
cockerels,0.0,0.0,0.05322,0.0,0.0,0.0,0.0,0.0
coins,0.0,0.0,0.10644,0.0,0.0,0.0,0.0,0.0
cold,0.04189,0.0,0.0,0.0,0.0,0.0,0.0,0.0607
colossal,0.0,0.0,0.0,0.0,0.05475,0.0,0.0,0.0
combustion,0.0,0.0,0.0,0.0,0.05475,0.0,0.0,0.0
come,0.12567,0.0,0.0,0.0,0.0,0.0,0.0,0.0607
coming,0.0,0.0,0.0,0.0,0.0,0.0953,0.0,0.0
command,0.04999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
communicate,0.0,0.0,0.0,0.0,0.05475,0.0,0.0,0.0
comparing,0.0,0.04925,0.0,0.0,0.0,0.0,0.0,0.0
computer,0.0,0.0,0.0,0.0,0.0,0.0,0.04794,0.0
confused,0.0,0.0,0.0,0.0,0.05475,0.0,0.0,0.0
considers,0.0,0.0,0.0,0.0,0.05475,0.0,0.0,0.0
contained,0.04999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
continue,0.0,0.0,0.0,0.0,0.05475,0.0,0.0,0.0
control,0.0,0.0,0.0,0.0,0.0,0.0,0.09587,0.0
controlling,0.0,0.0,0.0,0.0,0.05475,0.0,0.0,0.0
corner,0.09997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
correct,0.0,0.0,0.0,0.04724,0.0,0.0,0.0,0.0
couldn,0.0,0.0,0.0,0.0,0.0,0.0,0.09587,0.0
counted,0.0,0.0,0.0,0.04724,0.0,0.0,0.0,0.0
course,0.0,0.0,0.10644,0.0,0.0,0.0,0.0,0.0
court,0.0,0.04128,0.0446,0.0,0.0,0.0,0.0,0.0
covered,0.04999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crab,0.0,0.0,0.0,0.0,0.0,0.42886,0.0,0.0
crabs,0.0,0.0,0.0,0.0,0.0,0.04765,0.0,0.0
credit,0.0,0.0,0.15965,0.0,0.0,0.0,0.0,0.0
creditcards,0.0,0.0,0.0,0.04724,0.0,0.0,0.0,0.0
cried,0.0,0.04925,0.0,0.0,0.0,0.0,0.0,0.0
crisis,0.0,0.0,0.0,0.0,0.05475,0.0,0.0,0.0
crop,0.0,0.0,0.05322,0.0,0.0,0.0,0.0,0.0
crops,0.0,0.0,0.05322,0.0,0.0,0.0,0.0,0.0
crowned,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07243
curly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07243
cuz,0.0,0.0,0.0,0.0,0.0,0.0,0.04794,0.0
dallying,0.0,0.0,0.0,0.0,0.0,0.04765,0.0,0.0
dan,0.0,0.0,0.0,0.0,0.10951,0.0,0.0,0.0
dark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07243
dashed,0.0,0.0,0.05322,0.0,0.0,0.0,0.0,0.0
day,0.0,0.0,0.03374,0.05991,0.0,0.03021,0.0,0.09185
days,0.03615,0.0,0.0,0.0,0.0396,0.03446,0.0,0.0
dead,0.04999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deal,0.0,0.0,0.0,0.0,0.0,0.04765,0.0,0.0
dearest,0.0,0.04925,0.0,0.0,0.0,0.0,0.0,0.0
death,0.0,0.0,0.0,0.0,0.05475,0.0,0.0,0.0
deaths,0.0,0.0,0.0,0.0,0.05475,0.0,0.0,0.0
debt,0.0,0.0,0.05322,0.0,0.0,0.0,0.0,0.0
decided,0.0,0.0,0.03374,0.0,0.0,0.03021,0.0304,0.04593
defence,0.0,0.0,0.05322,0.0,0.0,0.0,0.0,0.0
delighted,0.0,0.04925,0.0,0.0,0.0,0.0,0.0,0.0
demands,0.0,0.0,0.05322,0.0,0.0,0.0,0.0,0.0
